,level_0,index,name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_measurement_type,radius_measurement_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
0,0,9,16 Cyg Bb,Confirmed,1.64,0.08,0.08,1.64,0.08,0.08,,,,799.5,0.6,0.6,1.68,0.03,0.03,0.689,0.011,0.011,,,,0.078468,1996.0,2024-07-28,83.4,2.1,2.1,2450539.3,1.6,1.6,,,,,,,,,,,,,,,,,,,50.5,1.6,1.6,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,16 Cyg B,295.4625,50.5175,6.2,,,,,21.41,0.24,0.24,0.08,0.04,0.04,1.01,0.04,0.04,0.98,0.13,0.13,G2.5 V,8.0,1.8,1.8,5766.0,60.0,60.0,,,"HD 186427, GJ 765.1 B"
1,1,308,51 Eri b,Confirmed,4.1,0.5,0.5,,,,1.11,0.13,0.13,10260.0,1800.0,1800.0,11.1,1.3,1.3,0.49,0.15,0.15,136.0,11.0,11.0,,2015.0,2024-01-04,84.0,58.0,58.0,2452014.79,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,700.0,,,,,,,,3.5,Published in a refereed paper,Imaging,Spectrum,,,"CH4, H2O",51 Eri,69.4005514287,-2.47354859817,5.223,,,,,29.4,0.3,0.3,-0.027,,,1.75,0.05,0.05,,,,F0IV,0.02,0.006,0.006,,,,IR Excess,,
2,2,313,55 Cnc Ab,Confirmed,0.84,0.031,0.031,0.84,0.031,0.031,,,,14.65314,0.00095,0.00095,0.11339,0.00011,0.00011,0.0023,0.0016,0.0016,89.73,24.54,24.54,0.009303,1996.0,2024-06-19,110.0,54.0,54.0,2453035.0,2.2,2.2,,,,,,,,,,,,,,,,,,,71.47,0.21,0.21,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,"rho1 Cnc Ab, HD 75732 b",,55 Cnc A,133.1541667,28.3338889,5.95,,4.59,4.14,4.015,12.5855,0.01235,0.01235,0.35,0.1,0.1,0.9,0.115,0.115,0.963,0.0654,0.0654,G8V,10.2,2.5,2.5,5250.0,147.574,147.574,,,"rho1 Cnc, HD 75732, GJ 324 A, rho1 Cnc A, TOI-1773"
3,7,329,79 Cet Ab,Confirmed,0.215,0.03,0.03,0.215,0.03,0.03,,,,75.82,0.4,0.4,0.35,,,0.28,0.15,0.15,,,,0.009749,2000.0,2024-07-29,41.0,22.0,22.0,2451547.2,4.1,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,HD 16141 b,,79 Cet A,38.8291667,-3.5605556,6.78,,,,,35.9,,,0.02,,,1.01,,,1.0,,,G5 IV,7.76,,,5533.0,,,,,"HD 16141, HIP 12048"
4,8,336,94 Cet Ab,Confirmed,1.37,0.12,0.12,1.37,0.12,0.12,,,,466.2,1.7,1.7,1.305,0.016,0.016,0.063,0.062,0.062,,,,0.06345,2003.0,2024-07-29,346.0,55.0,55.0,2453757.0,72.0,72.0,,,,,,,,,,,,,,,,,,,29.3,2.1,2.1,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,"HD 19994 Ab, GJ 128 Ab, HR 962 Ab",,94 Cet A,48.1916667,-1.1958333,5.07,,,,,22.38,,,0.25,,,1.34,,,1.93,0.067,0.067,F8 V,8.91,,,5984.0,,,IR Excess,,"HD 19994 A, GJ 128 A, HR 962 A"
5,9,503,CoRoT-7 Ab,Confirmed,0.01907,0.00205,0.00205,,,,0.136,,,0.8535,6e-07,6e-07,0.0172,0.00029,0.00029,0.12,0.07,0.07,80.1,0.3,0.3,0.000115,2009.0,2024-08-06,,,,,,,,,,2454398.0767,0.0015,0.0015,,,,,,,,,,,,,4.291,0.46,0.46,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,CoRoT-7 A,100.9541667,-1.0627778,11.7,,,,,150.0,20.0,20.0,0.03,0.07,0.07,0.93,0.03,0.03,0.87,0.04,0.04,K0V,1.5,0.3,0.3,5313.0,73.0,73.0,,,"GSC 04799-01733, 2MASS J06434947-0103468"
6,12,583,DP Leo (AB) b,Confirmed,6.05,0.47,0.47,,,,,,,10230.0,730.0,730.0,8.19,0.39,0.39,0.39,0.13,0.13,,,,,2009.0,2018-10-29,282.0,20.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Timing,,,,,DP Leo (AB),169.3166667,17.9613889,17.5,,,,,,,,,,,0.69,,,,,,AM Her,,,,,,,,,
7,13,584,DS Tuc Ab,Confirmed,0.0453,0.0453,0.0453,,,,0.5085,0.0152,0.0152,8.138268,1e-05,1e-05,0.0795,0.003,0.003,,,,88.73,0.18,0.18,,2019.0,2024-08-04,,,,,,,,,,2458832.30997,0.00026,0.00026,,,,12.1,2.1,2.1,0.4,0.08,0.08,,,,3.2,2.2,2.2,,,,,,,,,,Published in a refereed paper,Primary Transit,Theoretical,Primary Transit,"HD 222259 Ab, TOI-200 b, TOI-200 Ab",,DS Tuc A,354.91666668,-69.195833347,9.0,,,,,44.12,0.06,0.06,-0.08,0.06,0.06,0.959,0.031,0.031,0.872,0.027,0.027,G6V,0.04,5.0,5.0,5597.0,59.0,59.0,,,"HD 222259 A, TOI-200"
8,14,598,eps Ret Ab,Confirmed,1.35,0.11,0.11,1.35,0.11,0.11,,,,415.2,0.5,0.5,1.16,0.11,0.11,0.058,0.05,0.05,,,,0.064088,2000.0,2024-07-29,347.0,20.0,20.0,2451849.3,0.4,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Radial Velocity,,,HD 27442 b,,eps Ret A,64.1208333,-59.3019444,4.44,3.08,2.57,1.81,1.97,18.1,,,0.22,,,1.2,0.1,0.1,6.6,,,K2IIII-Va,7.15,,,4749.0,50.0,50.0,,,"HD 27442, HR 1355"
9,15,657,gamma Cephei Ab,Confirmed,17.539,0.745,0.745,1.742,0.074,0.074,,,,905.64,2.83,2.83,2.1459,0.0048,0.0048,0.0724,0.0575,0.0575,5.7,,,0.148658,2003.0,2024-07-28,48.47,1.8,1.8,2453140.16,38.31,38.31,,,,,,,,,,,,,,,,,,,28.08,1.23,1.23,,,,,,,,,,Published in a refereed paper,"Radial Velocity, Astrometry",Radial Velocity,,"gam Cephei Ab, Errai b",,gamma Cephei A,354.8333333,77.6322222,3.22,,,,,13.79,,,0.18,,,1.4,0.12,0.12,4.9,,,K1III-IV,6.6,,,4800.0,100.0,100.0,,,"Errai, gam Cephei A"
